INFO buildroot.py:491:  Mock Version: 2.12
DEBUG file_util.py:17:  ensuring that dir exists: /var/lib/mock/sdk7/root/dev/pts
DEBUG file_util.py:20:  creating dir: /var/lib/mock/sdk7/root/dev/pts
DEBUG file_util.py:17:  ensuring that dir exists: /var/lib/mock/sdk7/root/dev/shm
DEBUG file_util.py:20:  creating dir: /var/lib/mock/sdk7/root/dev/shm
DEBUG buildroot.py:675:  kernel version == 3.10.0-1160.24.1.el7.x86_64
DEBUG file_util.py:30:  touching file: /var/lib/mock/sdk7/root/etc/fstab
DEBUG file_util.py:30:  touching file: /var/lib/mock/sdk7/root/etc/yum/yum.conf
DEBUG file_util.py:30:  touching file: /var/lib/mock/sdk7/root/etc/dnf/dnf.conf
DEBUG file_util.py:30:  touching file: /var/lib/mock/sdk7/root/var/log/yum.log
DEBUG file_util.py:17:  ensuring that dir exists: /var/lib/mock/sdk7/root/var/cache/yum
DEBUG util.py:624:  child environment: None
DEBUG util.py:542:  Executing command: ['/bin/mount', '-n', '-o', 'bind', '/var/cache/mock/sdk7/yum_cache', '/var/lib/mock/sdk7/root/var/cache/yum'] with env {'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'C.UTF-8'} and shell False
DEBUG util.py:598:  Child return code was: 0
DEBUG file_util.py:17:  ensuring that dir exists: /var/lib/mock/sdk7/root/var/cache/dnf
DEBUG util.py:624:  child environment: None
DEBUG util.py:542:  Executing command: ['/bin/mount', '-n', '-o', 'bind', '/var/cache/mock/sdk7/dnf_cache', '/var/lib/mock/sdk7/root/var/cache/dnf'] with env {'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'C.UTF-8'} and shell False
DEBUG util.py:598:  Child return code was: 0
DEBUG file_util.py:17:  ensuring that dir exists: /var/lib/mock/sdk7-bootstrap/root/var/lib/mock/sdk7/root
DEBUG util.py:624:  child environment: None
DEBUG util.py:542:  Executing command: ['/bin/mount', '-n', '-t', 'tmpfs', '-o', 'private', 'tmpfs', '/var/lib/mock/sdk7-bootstrap/root/var/lib/mock/sdk7/root'] with env {'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'C.UTF-8'} and shell False
DEBUG util.py:598:  Child return code was: 0
DEBUG file_util.py:17:  ensuring that dir exists: /var/lib/mock/sdk7-bootstrap/root/var/lib/mock/sdk7/root
DEBUG util.py:624:  child environment: None
DEBUG util.py:542:  Executing command: ['/bin/mount', '-n', '-o', 'rbind', '/var/lib/mock/sdk7/root', '/var/lib/mock/sdk7-bootstrap/root/var/lib/mock/sdk7/root'] with env {'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'C.UTF-8'} and shell False
DEBUG util.py:598:  Child return code was: 0
DEBUG util.py:624:  child environment: None
DEBUG util.py:542:  Executing command: ['/bin/mount', '-n', '-o', 'remount,private,rbind', '/var/lib/mock/sdk7/root', '/var/lib/mock/sdk7-bootstrap/root/var/lib/mock/sdk7/root'] with env {'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'C.UTF-8'} and shell False
DEBUG util.py:598:  Child return code was: 0
DEBUG buildroot.py:195:  rootdir = /var/lib/mock/sdk7/root
DEBUG buildroot.py:196:  resultdir = pkgs
DEBUG file_util.py:17:  ensuring that dir exists: /var/lib/mock/sdk7/root/etc/pki/mock
DEBUG file_util.py:17:  ensuring that dir exists: /var/lib/mock/sdk7/root/etc/yum/pluginconf.d
DEBUG package_manager.py:504:  configure yum
DEBUG package_manager.py:516:  configure yum priorities
DEBUG package_manager.py:518:  configure yum rhnplugin
DEBUG util.py:624:  child environment: None
DEBUG util.py:536:  Using nspawn with args None
